mata_kuliah,query,faiss_time_ms,rerank_time_ms,total_time_ms,faiss_avg_score,rerank_avg_score,faiss_top1,rerank_top1
Algoritma dan Pemrograman,Apa itu Version Control System (VCS) dan jelaskan ...,22.96,150.05,173.01,0.5717,2.2578,0.6586,2.2578
Algoritma dan Pemrograman,Bagaimana cara menghubungkan Git ke GitHub menggun...,14.21,125.11,139.32,0.6348,5.524,0.69,7.3725
Algoritma dan Pemrograman,"Jelaskan perbedaan antara working directory, stagi...",12.09,28.15,40.24,0.6279,2.7559,0.6619,6.0658
Algoritma dan Pemrograman,"Apa perbedaan repository public, private, dan inte...",12.72,30.2,42.92,0.4775,4.9808,0.5322,5.478
Algoritma dan Pemrograman,Bagaimana cara kerja if-else statement di Python?,12.03,34.22,46.26,0.5082,1.8635,0.5593,3.4259
Algoritma dan Pemrograman,Apa fungsi elif dalam struktur percabangan Python?,15.73,25.77,41.5,0.4793,3.994,0.5562,5.908
Algoritma dan Pemrograman,Jelaskan penggunaan match case di Python,13.05,27.87,40.92,0.4995,4.278,0.5667,6.2604
Algoritma dan Pemrograman,Apa itu ternary operator dan bagaimana cara menggu...,12.39,31.34,43.73,0.5369,2.4702,0.5802,3.6631
Algoritma dan Pemrograman,Bagaimana cara menggunakan for loop dengan range()...,13.19,32.28,45.48,0.6165,4.2708,0.682,6.3869
Algoritma dan Pemrograman,Apa perbedaan for dan while loop di Python?,10.05,29.1,39.14,0.5593,3.3618,0.5805,5.9027
Algoritma dan Pemrograman,Jelaskan fungsi break dan continue dalam perulanga...,8.88,31.38,40.26,0.6016,6.5311,0.6744,7.8999
Algoritma dan Pemrograman,Bagaimana cara membuat function dengan keyword def...,14.25,28.38,42.62,0.4884,3.3229,0.5225,6.1959
Algoritma dan Pemrograman,Jelaskan perbedaan keyword argument dan positional...,14.51,23.74,38.26,0.5018,2.8905,0.5566,2.8905
Algoritma dan Pemrograman,Apa itu *args dan **kwargs dalam function Python?,9.88,27.92,37.8,0.4989,4.2553,0.5724,5.6499
Algoritma dan Pemrograman,Jelaskan konsep fungsi rekursif di Python,11.86,25.82,37.68,0.5394,5.9932,0.5833,7.5692
Algoritma dan Pemrograman,Bagaimana cara menggunakan try-except untuk error ...,11.4,26.17,37.57,0.5446,4.2546,0.6044,6.4062
Algoritma dan Pemrograman,Jelaskan penggunaan regular expression (regex) di ...,11.3,24.67,35.97,0.5432,4.6105,0.6983,6.7249
Algoritma dan Pemrograman,Apa itu class dan object dalam OOP Python?,9.45,28.06,37.51,0.4666,5.7138,0.5301,6.5266
Algoritma dan Pemrograman,Bagaimana cara membuat constructor __init__ di Pyt...,8.73,31.14,39.88,0.4298,0.6239,0.4796,0.6239
Algoritma dan Pemrograman,Jelaskan konsep inheritance di Python,9.97,30.61,40.58,0.4977,4.6018,0.5303,6.5109
Pemrograman Website,Apa struktur dasar dokumen HTML dan jelaskan fungs...,8.51,27.16,35.67,0.5673,1.9315,0.6495,3.2108
Pemrograman Website,Apa itu database & DBMS?,9.79,27.23,37.03,0.4548,5.8323,0.5452,5.8323
Pemrograman Website,"Bagaimana cara membuat form dengan input text, rad...",9.69,32.3,42.0,0.5728,2.8451,0.5914,4.5764
Pemrograman Website,Apa fungsi atribut href dan target pada tag anchor...,12.16,26.25,38.41,0.5368,3.5004,0.6044,5.3818
Pemrograman Website,Jelaskan penggunaan tag semantic HTML5 seperti hea...,11.11,26.15,37.26,0.5048,1.6466,0.5296,2.1949
Pemrograman Website,Apa itu utility-first CSS dan keunggulan Tailwind ...,10.05,29.31,39.36,0.6145,4.6668,0.7385,4.8084
Pemrograman Website,Bagaimana cara menggunakan class untuk margin dan ...,10.62,31.03,41.66,0.6532,5.6555,0.7271,6.9102
Pemrograman Website,Jelaskan penggunaan flexbox dengan justify-content...,13.16,28.43,41.59,0.5807,3.7552,0.6059,4.4168
Pemrograman Website,Bagaimana cara membuat responsive design dengan br...,9.93,27.63,37.56,0.5564,1.1657,0.5916,1.5819
Pemrograman Website,Jelaskan penggunaan grid layout dengan grid-cols d...,9.33,28.18,37.51,0.6256,3.0553,0.6921,5.2598
Pemrograman Website,"Apa perbedaan var, let, dan const dalam JavaScript...",11.33,33.81,45.15,0.5198,2.8305,0.5342,5.649
Pemrograman Website,Bagaimana cara mengakses dan memodifikasi elemen a...,9.73,25.88,35.61,0.5318,3.8348,0.5591,4.8385
Pemrograman Website,Jelaskan cara membuat object dan mengakses propert...,11.23,25.4,36.64,0.5191,2.2952,0.5654,3.9738
Pemrograman Website,"HTML menyediakan berbagai elemen, apa saja?",10.31,30.02,40.33,0.5421,3.4453,0.5626,4.0846
Pemrograman Website,Bagaimana cara membuat arrow function di JavaScrip...,10.82,29.65,40.47,0.4883,2.2552,0.5561,2.8842
Pemrograman Website,Apa fungsi utama tabel HTML?,9.75,27.34,37.09,0.5627,2.0397,0.5992,3.3041
Pemrograman Website,Bagaimana cara mengubah isi elemen dengan textCont...,8.5,29.49,38.0,0.5397,1.1321,0.5674,1.1321
Pemrograman Website,Jelaskan penggunaan addEventListener untuk event h...,11.02,30.37,41.39,0.5567,3.9573,0.64,4.5635
Pemrograman Website,Bagaimana cara membuat koneksi database dengan PDO...,11.94,31.01,42.95,0.6105,1.8488,0.6404,2.4454
Pemrograman Website,Jelaskan konsep MVC pattern di framework Laravel,8.23,36.84,45.07,0.5566,3.7913,0.6406,5.8465
Basis Data,Apa itu DBMS dan jelaskan fungsi utamanya,8.97,31.01,39.98,0.5686,2.6741,0.5859,4.2605
Basis Data,Bagaimana cara membuat database dan tabel dengan C...,10.8,30.92,41.72,0.5855,1.5377,0.5984,3.0326
Basis Data,Jelaskan penggunaan constraint PRIMARY KEY dan FOR...,10.98,27.39,38.37,0.5836,4.6483,0.7151,5.244
Basis Data,"Apa fungsi constraint NOT NULL, DEFAULT, dan UNIQU...",9.82,30.97,40.79,0.3981,2.6916,0.4741,4.4848
Basis Data,Bagaimana cara insert data dengan niali NULL,9.6,32.41,42.02,0.5577,3.8447,0.6252,6.3355
Basis Data,Bagaimana cara insert data tanpa memasukkan nama d...,10.53,30.46,40.99,0.6221,3.8701,0.6685,6.651
Basis Data,Jelaskan penggunaan ORDER BY ASC dan DESC untuk me...,9.53,28.86,38.39,0.554,3.1928,0.5642,4.3604
Basis Data,Apa fungsi LIMIT dan OFFSET dalam query MySQL?,8.33,29.55,37.88,0.3735,2.4859,0.4727,4.1738
Basis Data,Bagaimana cara menggunakan DISTINCT untuk mendapat...,10.02,28.87,38.89,0.5513,3.8394,0.5586,5.8954
Basis Data,Jelaskan penggunaan operator LIKE dengan wildcard ...,10.61,28.14,38.75,0.5217,2.9701,0.6009,4.3835
Basis Data,Bagaimana cara memasukkan data dengan INSERT INTO ...,9.57,30.38,39.95,0.5998,4.3494,0.624,5.5472
Basis Data,Jelaskan cara menggunakan UPDATE untuk mengubah da...,12.12,29.81,41.93,0.5783,6.0747,0.5929,6.7716
Basis Data,Apa perbedaan DELETE dan TRUNCATE untuk menghapus ...,9.84,31.94,41.78,0.5794,2.1561,0.6132,4.833
Basis Data,"Jelaskan penggunaan operator AND, OR, dan NOT dala...",9.25,29.38,38.63,0.5683,6.4903,0.5876,7.84
Basis Data,Bagaimana insert data pada kolom tertentu?,11.15,27.07,38.22,0.5644,5.0012,0.625,6.6356
Basis Data,"Jelaskan perbedaan INNER JOIN, LEFT JOIN, dan RIGH...",9.89,30.06,39.95,0.5705,3.6102,0.672,4.8392
Basis Data,"Bagaimana cara menggunakan fungsi agregat COUNT, S...",10.56,30.67,41.23,0.4839,3.9162,0.5351,4.8049
Basis Data,Jelaskan penggunaan GROUP BY dan HAVING di MySQL,10.01,28.02,38.03,0.5354,0.8282,0.6178,1.1418
Basis Data,Apa itu Subquery dan bagaimana penggunaannya dalam...,11.19,28.69,39.88,0.612,3.4541,0.6491,4.5698
Basis Data,"Jelaskan perbedaan operator IN, ANY, ALL, dan EXIS...",12.8,30.99,43.79,0.5181,3.7428,0.5984,6.7806
OOP Java,Jelaskan perbedaan antara class dan object di Java,9.56,27.46,37.01,0.6156,3.6542,0.6478,5.9306
OOP Java,Bagaimana cara membuat class dan instance object d...,9.65,28.61,38.26,0.5855,5.6575,0.6007,6.5824
OOP Java,Apa itu attribute dan bagaimana cara mendeklarasik...,11.26,28.83,40.1,0.6174,3.2457,0.6601,6.0186
OOP Java,Jelaskan penggunaan keyword this di Java,10.72,31.68,42.4,0.628,0.5432,0.6585,0.7728
OOP Java,Apa itu constructor dan bagaimana cara membuatnya ...,9.95,28.19,38.14,0.6339,3.9024,0.6989,5.8002
OOP Java,Jelaskan konsep multiple constructor di Java,9.99,26.91,36.9,0.521,1.8567,0.5567,4.2493
OOP Java,Apa itu encapsulation dan tujuannya dalam OOP?,12.02,32.88,44.9,0.4831,2.5752,0.5055,3.6368
OOP Java,"Jelaskan perbedaan access modifier public, private...",11.28,29.04,40.32,0.5575,3.8631,0.5947,5.661
OOP Java,Bagaimana cara membuat getter dan setter di Java?,8.41,28.81,37.21,0.5468,4.3356,0.6193,6.6551
OOP Java,Jelaskan konsep data hiding dalam encapsulation,8.67,35.66,44.33,0.4694,5.2285,0.5657,7.2167
OOP Java,Apa itu inheritance dan jelaskan penggunaan keywor...,12.09,36.16,48.25,0.6339,3.8408,0.6808,4.4543
OOP Java,"Jelaskan perbedaan single inheritance, multilevel ...",10.24,29.75,39.99,0.5942,3.5501,0.7018,6.1691
OOP Java,Bagaimana penggunaan keyword super untuk memanggil...,8.42,30.87,39.3,0.5937,4.3808,0.6222,6.0291
OOP Java,Apa itu polymorphism dan jelaskan method overridin...,11.07,30.15,41.22,0.5436,3.9085,0.615,6.1678
OOP Java,Jelaskan perbedaan runtime polymorphism dan compil...,12.11,28.88,40.99,0.486,3.1758,0.6265,4.4663
OOP Java,Apa itu method overloading dan bagaimana cara meng...,9.83,30.29,40.13,0.5646,4.5046,0.5843,5.6572
OOP Java,Jelaskan definisi Thread dan Multithreading di Jav...,8.52,28.67,37.19,0.7028,6.1967,0.7176,8.7571
OOP Java,Bagaimana cara membuat Thread dengan extends Threa...,9.62,31.72,41.34,0.653,5.146,0.7023,7.4912
OOP Java,"Jelaskan penggunaan method start(), run(), dan sle...",12.02,26.72,38.75,0.7157,4.6097,0.7466,5.5692
OOP Java,Apa itu sinkronisasi thread dan penggunaan keyword...,8.34,28.83,37.17,0.5979,3.2176,0.6436,6.0486
Pemrograman Mobile,Apa itu Activity di Android dan apa fungsinya?,11.85,33.03,44.88,0.5919,4.4199,0.6149,7.5591
Pemrograman Mobile,"Jelaskan lifecycle Activity: onCreate, onStart, on...",9.21,34.71,43.92,0.3713,4.8784,0.4519,4.8784
Pemrograman Mobile,Apa prinsip LIFO dalam activity stack di Android?,10.16,28.79,38.95,0.5588,4.519,0.5895,5.9074
Pemrograman Mobile,Jelaskan perbedaan View dan ViewGroup di Android,8.31,30.4,38.71,0.5282,4.297,0.555,5.5494
Pemrograman Mobile,"Jelaskan penggunaan wrap_content, match_parent, da...",11.3,31.31,42.62,0.42,1.9292,0.5047,1.9292
Pemrograman Mobile,Apa perbedaan padding dan margin di Android layout...,10.97,34.09,45.06,0.532,2.0631,0.5875,4.9756
Pemrograman Mobile,"Jelaskan perbedaan satuan ukuran sp, dp, dan px di...",8.39,31.78,40.16,0.5705,6.1206,0.6071,6.1206
Pemrograman Mobile,Apa itu Intent dan jelaskan perbedaan Explicit Int...,9.85,29.31,39.16,0.4776,4.1693,0.5345,7.7251
Pemrograman Mobile,Bagaimana cara mengirim data antar Activity dengan...,13.58,26.83,40.42,0.5875,2.7599,0.598,4.6074
Pemrograman Mobile,Jelaskan penggunaan Parcelable untuk mengirim obje...,11.75,25.49,37.24,0.4922,3.707,0.5124,4.5076
Pemrograman Mobile,Apa itu RecyclerView dan apa fungsinya?,9.52,29.1,38.62,0.5218,1.2797,0.6181,1.2797
Pemrograman Mobile,"Jelaskan penggunaan ViewHolder, Adapter, dan Layou...",8.34,33.44,41.78,0.5919,3.1858,0.672,5.1522
Pemrograman Mobile,"Bagaimana cara membuat onCreateViewHolder, onBindV...",8.99,34.61,43.6,0.5582,1.9568,0.7071,1.9568
Pemrograman Mobile,Apa itu Fragment dan apa keunggulannya dibanding A...,9.41,27.76,37.17,0.5407,4.6879,0.6003,6.7211
Pemrograman Mobile,Jelaskan fragment lifecycle dan perbedaannya denga...,10.36,27.81,38.17,0.5132,2.7178,0.5974,4.2464
Pemrograman Mobile,Bagaimana cara mengirim data antar Fragment menggu...,11.41,29.46,40.87,0.5487,3.8514,0.5797,5.1082
Pemrograman Mobile,Apa itu Retrofit dan bagaimana cara menggunakannya...,11.15,30.27,41.42,0.64,4.2688,0.7009,5.0576
Pemrograman Mobile,Jelaskan cara membuat GET request dengan Retrofit ...,10.86,29.63,40.48,0.5902,2.2241,0.606,4.3321
Pemrograman Mobile,Apa itu SharedPreferences dan bagaimana cara menyi...,8.31,31.37,39.67,0.6156,5.1948,0.6999,7.7229
Pemrograman Mobile,Bagaimana cara membaca data dari SharedPreferences...,12.5,32.07,44.57,0.6141,4.6846,0.6818,6.9917
